"name","length","exp number of AAs in TMHs","exp number of AAs in TMHs in the first 60 AAs","predicted number of TMH","topology"
"YP_003934687.1","77","0.00","0.00","0","o"
"YP_003934688.1","185","0.27","0.18","0","o"
"YP_003934689.1","88","0.01","0.01","0","o"
"YP_003934690.1","88","0.00","0.00","0","o"
"YP_003934691.1","84","0.53","0.53","0","o"
"YP_003934692.1","108","0.08","0.05","0","o"
"YP_003934693.1","65","1.09","1.09","0","i"
"YP_003934694.1","43","0.00","0.00","0","i"
"YP_003934695.1","97","0.00","0.00","0","i"
"YP_003934696.1","84","0.00","0.00","0","o"
"YP_003934697.1","60","0.00","0.00","0","i"
"YP_003934698.1","105","0.04","0.04","0","o"
"YP_003934699.1","99","0.02","0.01","0","o"
"YP_003934700.1","71","24.59","24.59","1","i17-39o"
"YP_003934701.1","37","1.75","1.75","0","i"
"YP_003934702.1","156","0.02","0.02","0","o"
"YP_003934703.1","605","0.01","0.00","0","o"
"YP_003934704.1","157","0.00","0.00","0","o"
"YP_003934705.1","58","0.10","0.10","0","i"
"YP_003934706.1","89","0.00","0.00","0","o"
"YP_003934707.1","57","0.00","0.00","0","i"
"YP_003934708.1","49","0.00","0.00","0","i"
"YP_003934709.1","106","0.00","0.00","0","o"
"YP_003934710.1","102","0.00","0.00","0","o"
"YP_003934711.1","58","0.00","0.00","0","i"
"YP_003934712.1","55","40.26","40.26","2","i5-22o32-54i"
"YP_003934713.1","87","0.00","0.00","0","o"
"YP_003934714.1","80","0.00","0.00","0","i"
"YP_003934715.1","97","0.00","0.00","0","o"
"YP_003934716.1","329","0.65","0.65","0","o"
"YP_003934717.1","125","0.00","0.00","0","o"
"YP_003934718.1","170","0.02","0.01","0","o"
"YP_003934719.1","281","0.00","0.00","0","o"
"YP_003934720.1","174","0.01","0.01","0","o"
"YP_003934721.1","100","0.00","0.00","0","o"
"YP_003934722.1","64","0.05","0.05","0","o"
"YP_003934723.1","58","0.00","0.00","0","i"
"YP_003934724.1","332","0.00","0.00","0","o"
"YP_003934725.1","150","47.83","23.18","2","i37-59o74-96i"
"YP_003934726.1","186","0.00","0.00","0","o"
"YP_003934727.1","71","0.00","0.00","0","o"
"YP_003934728.1","85","0.00","0.00","0","o"
"YP_003934729.1","60","0.00","0.00","0","o"
"YP_003934730.1","67","0.00","0.00","0","i"
"YP_003934731.1","127","0.38","0.38","0","o"
"YP_003934732.1","97","1.58","1.58","0","o"
"YP_003934733.1","91","17.93","17.92","1","o5-22i"
"YP_003934734.1","190","1.10","1.10","0","o"
"YP_003934735.1","61","0.00","0.00","0","o"
"YP_003934736.1","68","0.00","0.00","0","i"
"YP_003934737.1","70","0.00","0.00","0","o"
"YP_003934738.1","159","0.79","0.77","0","o"
"YP_003934739.1","105","0.00","0.00","0","o"
"YP_003934740.1","167","0.02","0.01","0","o"
"YP_003934741.1","165","0.01","0.00","0","o"
"YP_003934742.1","101","0.00","0.00","0","o"
"YP_003934743.1","92","0.00","0.00","0","o"
"YP_003934744.1","72","0.00","0.00","0","o"
"YP_003934745.1","98","0.25","0.17","0","o"
"YP_003934746.1","164","0.02","0.00","0","o"
"YP_003934747.1","99","0.00","0.00","0","o"
"YP_003934748.1","87","0.00","0.00","0","o"
"YP_003934749.1","108","0.00","0.00","0","i"
"YP_003934750.1","138","0.31","0.26","0","o"
"YP_003934751.1","162","1.69","0.00","0","o"
"YP_003934752.1","152","0.00","0.00","0","o"
"YP_003934753.1","78","0.00","0.00","0","o"
"YP_003934754.1","194","44.55","0.00","2","i110-132o137-159i"
"YP_003934755.1","218","0.02","0.01","0","o"
"YP_003934756.1","74","0.04","0.04","0","i"
"YP_003934757.1","319","0.02","0.00","0","o"
"YP_003934758.1","55","0.00","0.00","0","o"
"YP_003934759.1","66","0.00","0.00","0","o"
"YP_003934760.1","109","0.00","0.00","0","o"
"YP_003934761.1","75","0.00","0.00","0","i"
"YP_003934762.1","77","0.00","0.00","0","o"
"YP_003934763.1","75","0.00","0.00","0","i"
"YP_003934764.1","65","0.28","0.25","0","o"
"YP_003934765.1","93","0.00","0.00","0","i"
"YP_003934766.1","96","0.00","0.00","0","o"
"YP_003934767.1","117","44.49","30.43","2","i21-43o58-80i"
"YP_003934768.1","119","45.12","30.19","2","i27-49o53-75i"
"YP_003934769.1","184","0.03","0.03","0","o"
"YP_003934770.1","197","0.00","0.00","0","o"
"YP_003934771.1","101","0.00","0.00","0","o"
"YP_003934772.1","147","0.06","0.06","0","o"
"YP_003934773.1","141","0.00","0.00","0","o"
"YP_003934774.1","79","0.00","0.00","0","o"
"YP_003934775.1","133","0.01","0.00","0","o"
"YP_003934776.1","39","19.15","19.15","1","o15-32i"
"YP_003934777.1","92","0.01","0.00","0","o"
"YP_003934778.1","90","0.00","0.00","0","o"
"YP_003934779.1","121","0.00","0.00","0","o"
"YP_003934780.1","151","0.01","0.00","0","o"
"YP_003934781.1","77","0.00","0.00","0","o"
"YP_003934782.1","225","0.01","0.00","0","o"
"YP_003934783.1","199","0.00","0.00","0","o"
"YP_003934784.1","274","0.06","0.00","0","o"
"YP_003934785.1","149","0.17","0.17","0","o"
"YP_003934786.1","200","0.02","0.00","0","o"
"YP_003934787.1","595","0.16","0.02","0","o"
"YP_003934788.1","687","5.96","0.00","0","o"
"YP_003934789.1","652","0.14","0.07","0","o"
"YP_003934790.1","1031","21.59","0.00","1","o881-903i"
"YP_003934791.1","314","0.00","0.00","0","o"
"YP_003934792.1","289","0.01","0.00","0","o"
"YP_003934793.1","53","9.90","9.90","0","i"
"YP_003934794.1","540","0.03","0.03","0","o"
"YP_003934795.1","221","0.14","0.00","0","o"
"YP_003934796.1","510","0.47","0.02","0","o"
"YP_003934797.1","525","0.00","0.00","0","o"
"YP_003934798.1","312","0.20","0.00","0","o"
"YP_003934799.1","211","0.03","0.03","0","o"
"YP_003934800.1","228","0.01","0.01","0","o"
"YP_003934801.1","275","0.00","0.00","0","o"
"YP_003934802.1","163","0.00","0.00","0","o"
"YP_003934803.1","610","0.16","0.00","0","o"
"YP_003934804.1","659","0.01","0.00","0","o"
"YP_003934805.1","163","0.00","0.00","0","o"
"YP_003934806.1","524","0.00","0.00","0","o"
"YP_003934807.1","83","0.00","0.00","0","o"
"YP_003934808.1","142","0.00","0.00","0","o"
"YP_003934809.1","212","0.00","0.00","0","o"
"YP_003934810.1","272","0.00","0.00","0","o"
"YP_003934811.1","519","0.06","0.00","0","o"
"YP_003934812.1","93","0.00","0.00","0","o"
"YP_003934813.1","426","0.15","0.00","0","o"
"YP_003934814.1","335","0.00","0.00","0","o"
"YP_003934815.1","87","0.00","0.00","0","o"
"YP_003934816.1","67","0.04","0.04","0","i"
"YP_003934817.1","282","2.64","2.64","0","o"
"YP_003934818.1","221","0.07","0.00","0","o"
"YP_003934819.1","499","0.35","0.00","0","o"
"YP_003934820.1","199","0.05","0.05","0","o"
"YP_003934821.1","75","0.00","0.00","0","o"
"YP_003934822.1","55","0.00","0.00","0","i"
"YP_003934823.1","77","0.00","0.00","0","i"
"YP_003934824.1","154","0.00","0.00","0","o"
"YP_003934825.1","124","0.02","0.01","0","o"
"YP_003934826.1","207","0.01","0.00","0","o"
"YP_003934827.1","250","0.01","0.00","0","o"
"YP_003934828.1","389","0.01","0.01","0","o"
"YP_003934829.1","127","0.00","0.00","0","o"
"YP_003934830.1","581","16.53","0.00","0","o"
"YP_003934831.1","362","0.17","0.00","0","o"
"YP_003934832.1","314","0.06","0.01","0","o"
"YP_003934833.1","107","0.18","0.00","0","o"
"YP_003934834.1","686","0.42","0.00","0","o"
"YP_003934835.1","624","0.09","0.00","0","o"
"YP_003934836.1","513","0.00","0.00","0","o"
"YP_003934837.1","92","0.00","0.00","0","o"
"YP_003934838.1","274","0.00","0.00","0","o"
"YP_003934839.1","152","0.03","0.03","0","o"
"YP_003934840.1","70","0.00","0.00","0","o"
"YP_003934841.1","64","2.08","2.08","0","o"
"YP_003934842.1","95","0.00","0.00","0","o"
"YP_003934843.1","121","0.36","0.26","0","o"
"YP_003934844.1","122","0.00","0.00","0","o"
"YP_003934845.1","116","0.00","0.00","0","i"
"YP_003934846.1","53","0.00","0.00","0","i"
"YP_003934847.1","129","0.00","0.00","0","o"
"YP_003934848.1","115","0.00","0.00","0","o"
"YP_003934849.1","99","0.01","0.00","0","o"
"YP_003934850.1","77","0.00","0.00","0","o"
"YP_003934851.1","193","0.01","0.00","0","o"
"YP_003934852.1","111","0.00","0.00","0","o"
"YP_003934853.1","81","0.00","0.00","0","o"
"YP_003934854.1","180","0.01","0.01","0","o"
"YP_003934855.1","92","0.70","0.31","0","o"
"YP_003934856.1","71","0.02","0.01","0","i"
"YP_003934857.1","69","0.02","0.02","0","i"
"YP_003934858.1","241","0.00","0.00","0","o"
"YP_003934859.1","301","0.00","0.00","0","o"
"YP_003934860.1","118","0.00","0.00","0","o"
"YP_003934861.1","96","0.18","0.18","0","o"
"YP_003934862.1","107","0.00","0.00","0","o"
"YP_003934863.1","167","0.01","0.00","0","o"
"YP_003934864.1","77","0.00","0.00","0","o"
"YP_003934865.1","378","0.01","0.00","0","o"
"YP_003934866.1","136","0.01","0.00","0","o"
"YP_003934867.1","392","1.07","0.10","0","o"
"YP_003934868.1","751","0.04","0.00","0","o"
"YP_003934869.1","286","1.15","0.00","0","o"
"YP_003934870.1","193","0.00","0.00","0","o"
"YP_003934871.1","76","0.00","0.00","0","o"
"YP_003934872.1","113","0.00","0.00","0","o"
"YP_003934873.1","79","0.00","0.00","0","i"
"YP_003934874.1","84","0.61","0.56","0","o"
"YP_003934875.1","121","0.00","0.00","0","o"
"YP_003934876.1","120","0.00","0.00","0","o"
"YP_003934877.1","301","0.00","0.00","0","o"
"YP_003934878.1","212","0.02","0.00","0","o"
"YP_003934879.1","217","0.05","0.00","0","o"
"YP_003934880.1","97","0.00","0.00","0","o"
"YP_003934881.1","84","0.00","0.00","0","o"
"YP_003934882.1","314","0.01","0.00","0","o"
"YP_003934883.1","1299","0.01","0.00","0","o"
"YP_003934884.1","378","0.02","0.00","0","o"
"YP_003934885.1","219","0.03","0.01","0","o"
"YP_003934886.1","1009","0.00","0.00","0","o"
"YP_003934887.1","181","0.00","0.00","0","o"
"YP_003934888.1","217","28.88","19.89","1","i29-48o"
"YP_003934889.1","91","0.01","0.01","0","o"
"YP_003934890.1","54","0.00","0.00","0","o"
"YP_003934891.1","39","0.00","0.00","0","o"
"YP_003934892.1","92","0.00","0.00","0","o"
"YP_003934893.1","162","0.00","0.00","0","o"
"YP_003934894.1","112","0.02","0.01","0","o"
"YP_003934895.1","110","0.36","0.17","0","o"
"YP_003934896.1","202","0.01","0.01","0","o"
"YP_003934897.1","71","0.00","0.00","0","i"
"YP_003934898.1","443","1.56","0.01","0","o"
"YP_003934899.1","149","0.40","0.11","0","i"
"YP_003934900.1","112","0.02","0.01","0","o"
"YP_003934901.1","81","0.00","0.00","0","o"
"YP_003934902.1","68","22.95","22.94","1","i20-42o"
"YP_003934903.1","40","22.15","22.15","1","i7-29o"
"YP_003934904.1","87","0.15","0.15","0","o"
"YP_003934905.1","91","1.15","0.33","0","i"
"YP_003934906.1","184","0.00","0.00","0","o"
"YP_003934907.1","89","0.00","0.00","0","o"
"YP_003934908.1","65","1.31","1.16","0","o"
"YP_003934909.1","318","0.00","0.00","0","o"
"YP_003934910.1","116","0.00","0.00","0","o"
"YP_003934911.1","260","0.45","0.00","0","o"
"YP_003934912.1","132","0.43","0.01","0","o"
"YP_003934913.1","135","0.02","0.02","0","o"
"YP_003934914.1","346","0.00","0.00","0","o"
"YP_003934915.1","96","0.00","0.00","0","o"
"YP_003934916.1","315","5.37","5.17","0","o"
"YP_003934933.1","1480","22.24","0.01","1","i62-84o"
"YP_003934934.1","761","0.67","0.60","0","o"
"YP_003966133.1","88","20.66","20.66","1","o5-27i"
"YP_003966134.1","125","0.10","0.10","0","o"
"YP_003966135.1","243","1.72","1.27","0","o"
"YP_003966138.1","120","0.07","0.04","0","o"
"YP_003966137.1","346","0.00","0.00","0","o"
"YP_003966136.1","135","0.01","0.00","0","o"
"YP_003969019.1","44","0.00","0.00","0","i"
"YP_003969020.1","44","0.00","0.00","0","i"
"YP_003969021.1","72","0.00","0.00","0","o"
"YP_003969022.1","607","0.01","0.00","0","o"
"YP_003969023.1","83","0.00","0.00","0","i"
"YP_003969024.1","71","0.81","0.81","0","o"
"YP_003969025.1","82","0.03","0.02","0","o"
"YP_003969026.1","92","0.00","0.00","0","o"
"YP_003969027.1","88","0.01","0.01","0","o"
"YP_003969028.1","576","0.02","0.00","0","o"
"YP_003969029.1","133","0.07","0.00","0","o"
"YP_003969030.1","312","0.00","0.00","0","o"
"YP_003969031.1","99","0.00","0.00","0","o"
"YP_003969032.1","216","0.73","0.00","0","o"
"YP_003969033.1","68","0.00","0.00","0","i"
"YP_003969034.1","98","0.01","0.01","0","i"
"YP_003969035.1","54","0.00","0.00","0","i"
"YP_003969036.1","227","0.00","0.00","0","o"
"YP_003969037.1","78","0.00","0.00","0","o"
"YP_003969038.1","156","0.01","0.01","0","i"
"YP_003969039.1","547","0.01","0.00","0","o"
"YP_003969040.1","192","0.00","0.00","0","o"
"YP_003969041.1","89","0.00","0.00","0","i"
"YP_003969042.1","218","0.01","0.01","0","o"
"YP_003969043.1","354","0.01","0.01","0","o"
"YP_003969044.1","358","0.10","0.00","0","o"
"YP_003969045.1","348","0.00","0.00","0","o"
"YP_003969046.1","126","0.00","0.00","0","o"
"YP_003969047.1","324","0.38","0.00","0","o"
"YP_003969048.1","98","0.00","0.00","0","o"
"YP_003969049.1","41","19.48","19.48","1","o4-23i"
"YP_003969050.1","40","0.00","0.00","0","o"
"YP_003969051.1","91","45.84","22.53","2","i7-29o68-90i"
"YP_003969052.1","63","0.01","0.01","0","i"
"YP_003969053.1","87","0.00","0.00","0","i"
"YP_003969054.1","218","20.22","19.96","1","i35-54o"
"YP_003969055.1","164","0.15","0.15","0","o"
"YP_003969056.1","233","0.07","0.03","0","o"
"YP_003969057.1","160","0.31","0.25","0","o"
"YP_003969058.1","907","1.00","0.03","0","o"
"YP_003969059.1","109","0.13","0.11","0","o"
"YP_003969060.1","128","0.53","0.53","0","o"
"YP_003969061.1","380","0.02","0.00","0","o"
"YP_003969062.1","1221","0.04","0.00","0","o"
"YP_003969063.1","304","0.13","0.13","0","o"
"YP_003969064.1","60","0.00","0.00","0","i"
"YP_003969065.1","84","0.00","0.00","0","o"
"YP_003969066.1","125","0.48","0.48","0","o"
"YP_003969067.1","85","0.35","0.35","0","i"
"YP_003969068.1","228","0.00","0.00","0","o"
"YP_003969069.1","56","0.00","0.00","0","o"
"YP_003969070.1","77","0.00","0.00","0","o"
"YP_003969071.1","80","0.00","0.00","0","o"
"YP_003969072.1","139","50.55","23.05","2","i31-53o68-99i"
"YP_003969073.1","366","0.42","0.00","0","o"
"YP_003969074.1","183","0.26","0.00","0","o"
"YP_003969075.1","173","0.16","0.11","0","o"
"YP_003969076.1","105","13.13","13.13","0","o"
"YP_003969077.1","100","0.00","0.00","0","i"
"YP_003969078.1","92","0.05","0.01","0","o"
"YP_003969079.1","383","0.02","0.02","0","o"
"YP_003969080.1","182","0.25","0.15","0","o"
"YP_003969081.1","81","0.00","0.00","0","i"
"YP_003969082.1","59","0.00","0.00","0","o"
"YP_003969083.1","112","0.01","0.00","0","o"
"YP_003969084.1","164","0.00","0.00","0","o"
"YP_003969085.1","80","0.15","0.09","0","o"
"YP_003969086.1","172","0.00","0.00","0","o"
"YP_003969087.1","105","0.18","0.11","0","o"
"YP_003969088.1","186","0.00","0.00","0","o"
"YP_003969089.1","172","4.86","0.01","0","o"
"YP_003969090.1","107","0.00","0.00","0","o"
"YP_003969091.1","63","0.00","0.00","0","i"
"YP_003969092.1","233","0.01","0.01","0","o"
"YP_003969093.1","453","0.00","0.00","0","o"
"YP_003969094.1","88","0.00","0.00","0","o"
"YP_003969095.1","298","0.58","0.00","0","o"
"YP_003969096.1","534","1.53","0.00","0","o"
"YP_003969097.1","115","0.00","0.00","0","i"
"YP_003969098.1","195","0.19","0.18","0","o"
"YP_003969099.1","37","0.01","0.01","0","o"
"YP_003969100.1","342","0.19","0.00","0","o"
"YP_003969101.1","565","17.44","0.00","0","o"
"YP_003969102.1","175","0.02","0.00","0","o"
"YP_003969103.1","371","0.08","0.08","0","o"
"YP_003969104.1","249","0.04","0.00","0","o"
"YP_003969105.1","201","0.21","0.00","0","o"
"YP_003969106.1","127","0.04","0.04","0","o"
"YP_003969107.1","44","0.00","0.00","0","o"
"YP_003969108.1","157","0.01","0.01","0","o"
"YP_003969109.1","54","0.06","0.06","0","i"
"YP_003969110.1","77","0.00","0.00","0","o"
"YP_003969111.1","495","0.33","0.02","0","o"
"YP_003969112.1","233","0.00","0.00","0","o"
"YP_003969113.1","178","0.00","0.00","0","o"
"YP_003969114.1","252","0.71","0.01","0","o"
"YP_003969115.1","112","0.19","0.00","0","i"
"YP_003969116.1","81","0.00","0.00","0","o"
"YP_003969117.1","161","0.00","0.00","0","o"
"YP_003969118.1","133","0.00","0.00","0","o"
"YP_003969119.1","298","0.00","0.00","0","o"
"YP_003969120.1","410","0.02","0.01","0","o"
"YP_003969121.1","98","0.02","0.00","0","i"
"YP_003969122.1","39","0.00","0.00","0","o"
"YP_003969123.1","529","0.08","0.00","0","o"
"YP_003969124.1","90","0.00","0.00","0","o"
"YP_003969125.1","198","0.00","0.00","0","o"
"YP_003969126.1","218","0.00","0.00","0","o"
"YP_003969127.1","113","0.06","0.02","0","o"
"YP_003969128.1","69","0.00","0.00","0","o"
"YP_003969129.1","516","0.00","0.00","0","o"
"YP_003969130.1","162","0.01","0.00","0","o"
"YP_003969131.1","295","1.48","1.29","0","o"
"YP_003969132.1","42","0.00","0.00","0","o"
"YP_003969133.1","271","0.02","0.00","0","o"
"YP_003969134.1","612","0.14","0.00","0","o"
"YP_003969135.1","149","0.00","0.00","0","o"
"YP_003969136.1","269","0.12","0.11","0","o"
"YP_003969137.1","49","0.00","0.00","0","o"
"YP_003969138.1","187","0.00","0.00","0","o"
"YP_003969139.1","41","0.00","0.00","0","o"
"YP_003969140.1","281","0.79","0.00","0","o"
"YP_003969141.1","586","0.01","0.00","0","o"
"YP_003969142.1","465","0.10","0.04","0","o"
"YP_003969143.1","220","0.27","0.00","0","o"
"YP_003969144.1","604","0.01","0.00","0","o"
"YP_003969145.1","191","0.25","0.23","0","o"
"YP_003969146.1","328","0.00","0.00","0","o"
"YP_003969147.1","77","0.00","0.00","0","o"
"YP_003969148.1","620","20.43","0.00","1","o575-597i"
"YP_003969149.1","304","0.04","0.02","0","o"
"YP_003969150.1","137","0.14","0.00","0","o"
"YP_003969151.1","98","0.00","0.00","0","i"
"YP_003969152.1","264","0.02","0.00","0","o"
"YP_003969153.1","97","0.00","0.00","0","o"
"YP_003969154.1","174","0.17","0.06","0","o"
"YP_003969155.1","583","1.71","0.03","0","o"
"YP_003969156.1","126","0.24","0.12","0","o"
"YP_003969157.1","118","0.02","0.02","0","o"
"YP_003969158.1","166","0.02","0.00","0","o"
"YP_003969159.1","101","0.00","0.00","0","o"
"YP_003969160.1","175","0.04","0.04","0","o"
"YP_003969161.1","227","0.00","0.00","0","o"
"YP_003969162.1","77","0.00","0.00","0","i"
"YP_003969163.1","145","0.00","0.00","0","o"
"YP_003969164.1","68","0.14","0.14","0","o"
"YP_003969165.1","85","38.85","37.21","2","i5-24o44-61i"
"YP_003969166.1","48","0.00","0.00","0","o"
"YP_003969167.1","112","0.00","0.00","0","o"
"YP_003969168.1","56","0.00","0.00","0","i"
"YP_003969169.1","88","44.74","31.91","2","i7-29o51-73i"
"YP_003969170.1","70","0.00","0.00","0","o"
"YP_003969171.1","125","12.52","6.69","0","o"
"YP_003969172.1","88","0.00","0.00","0","i"
"YP_003969173.1","69","0.00","0.00","0","o"
"YP_003969174.1","46","0.10","0.10","0","o"
"YP_003969175.1","127","0.15","0.15","0","o"
"YP_003969176.1","118","0.00","0.00","0","i"
"YP_003969177.1","61","41.70","41.70","2","i2-21o36-58i"
"YP_003969178.1","149","0.00","0.00","0","o"
"YP_003969179.1","69","0.00","0.00","0","o"
"YP_003969180.1","64","0.00","0.00","0","i"
"YP_003969181.1","96","0.02","0.02","0","o"
"YP_003969182.1","45","0.00","0.00","0","o"
"YP_003969183.1","56","0.00","0.00","0","o"
"YP_003969184.1","137","0.14","0.01","0","o"
"YP_003969185.1","332","0.32","0.00","0","o"
"YP_003969186.1","570","0.00","0.00","0","o"
"YP_003969187.1","238","0.00","0.00","0","o"
"YP_003969188.1","75","0.00","0.00","0","o"
"YP_003969189.1","149","0.00","0.00","0","o"
"YP_003969190.1","183","0.66","0.63","0","o"
"YP_003969191.1","91","0.01","0.01","0","o"
"YP_003969192.1","45","0.01","0.01","0","o"
"YP_003969193.1","146","19.18","19.12","1","i5-24o"
"YP_003969194.1","160","1.17","0.03","0","o"
"YP_003969195.1","65","0.04","0.03","0","i"
"YP_003969196.1","109","0.00","0.00","0","o"
"YP_003969197.1","109","0.00","0.00","0","o"
"YP_003969198.1","50","0.00","0.00","0","o"
"YP_003969199.1","181","0.00","0.00","0","o"
"YP_003969200.1","87","0.00","0.00","0","o"
"YP_003969201.1","307","22.13","22.06","1","i13-35o"
"YP_003969202.1","75","22.53","22.53","1","i7-29o"
"YP_003969203.1","202","0.41","0.05","0","o"
"YP_003969204.1","43","0.03","0.03","0","i"
"YP_003969205.1","38","0.00","0.00","0","o"
"YP_003969206.1","82","0.00","0.00","0","o"
"YP_003969207.1","398","0.02","0.00","0","o"
"YP_003969208.1","132","1.23","1.22","0","o"
"YP_003969209.1","40","0.90","0.90","0","o"
"YP_003969210.1","98","0.25","0.25","0","i"
"YP_003969211.1","68","0.01","0.01","0","i"
"YP_003969212.1","103","0.00","0.00","0","o"
"YP_003969213.1","130","0.02","0.00","0","o"
"YP_003969214.1","122","0.44","0.40","0","i"
"YP_003969215.1","77","41.54","41.54","2","i5-22o32-54i"
"YP_003969216.1","348","0.02","0.02","0","o"
"YP_003969217.1","167","0.03","0.02","0","i"
"YP_003969218.1","324","0.00","0.00","0","o"
"YP_003969219.1","81","5.62","5.62","0","o"
"YP_003969220.1","84","38.56","21.68","2","i36-58o64-83i"
"YP_003969221.1","104","0.02","0.01","0","o"
"YP_003969222.1","97","0.00","0.00","0","o"
"YP_003969223.1","222","0.06","0.00","0","o"
"YP_003969224.1","48","30.41","30.41","2","i7-24o28-47i"
"YP_003969225.1","218","0.01","0.00","0","o"
"YP_003969226.1","492","0.72","0.00","0","o"
"YP_003969227.1","86","0.27","0.13","0","i"
"YP_003969228.1","68","0.01","0.01","0","o"
"YP_003969229.1","63","0.00","0.00","0","o"
"YP_003969230.1","132","0.00","0.00","0","o"
"YP_003969231.1","157","0.00","0.00","0","o"
"YP_003969232.1","252","0.13","0.00","0","o"
"YP_003969233.1","127","0.00","0.00","0","o"
"YP_003969234.1","228","0.55","0.52","0","o"
"YP_003969235.1","103","0.00","0.00","0","o"
"YP_003969236.1","71","0.00","0.00","0","o"
"YP_003969237.1","301","0.00","0.00","0","o"
"YP_003969238.1","119","0.00","0.00","0","o"
"YP_003969239.1","103","0.05","0.03","0","o"
"YP_003969240.1","40","0.00","0.00","0","o"
"YP_003969241.1","116","0.00","0.00","0","o"
"YP_003969242.1","195","0.00","0.00","0","o"
"YP_003969243.1","287","0.05","0.00","0","o"
"YP_003969244.1","112","0.05","0.05","0","o"
"YP_003969245.1","84","0.02","0.00","0","o"
"YP_003969246.1","191","0.01","0.00","0","o"
"YP_003969247.1","479","0.01","0.01","0","o"
"YP_003969248.1","172","0.09","0.09","0","o"
"YP_003969249.1","37","0.00","0.00","0","o"
"YP_003969250.1","355","0.01","0.00","0","o"
"YP_003969251.1","176","0.25","0.03","0","o"
"YP_003969252.1","376","0.00","0.00","0","o"
"YP_003969253.1","60","0.00","0.00","0","o"
"YP_003969254.1","117","0.00","0.00","0","o"
"YP_003969255.1","223","0.03","0.02","0","o"
"YP_003969256.1","321","0.01","0.00","0","o"
"YP_003969257.1","190","0.86","0.00","0","o"
"YP_003969258.1","118","0.00","0.00","0","o"
"YP_003969259.1","524","15.46","0.00","0","o"
"YP_003969260.1","268","0.00","0.00","0","o"
"YP_003969261.1","57","0.00","0.00","0","o"
"YP_003969262.1","356","0.01","0.00","0","o"
"YP_003969263.1","227","0.00","0.00","0","o"
"YP_003969264.1","56","1.20","1.20","0","i"
"YP_003969265.1","436","0.83","0.76","0","o"
"YP_003969266.1","63","0.00","0.00","0","o"
"YP_003969267.1","94","0.00","0.00","0","o"
"YP_003969268.1","263","8.78","8.78","0","o"
"YP_003969269.1","50","0.00","0.00","0","i"
"YP_003969270.1","153","0.01","0.00","0","o"
"YP_003969271.1","37","0.00","0.00","0","i"
"YP_003969272.1","152","0.06","0.06","0","o"
"YP_003969273.1","86","0.00","0.00","0","i"
"YP_003969274.1","171","0.00","0.00","0","o"
"YP_003969275.1","43","0.00","0.00","0","o"
"YP_003969276.1","63","0.81","0.81","0","o"
"YP_003969277.1","103","0.07","0.06","0","i"
"YP_003969278.1","438","0.00","0.00","0","o"
"YP_003969279.1","37","0.00","0.00","0","o"
"YP_003969280.1","221","0.01","0.01","0","o"
"YP_003969281.1","85","0.00","0.00","0","o"
"YP_003969282.1","82","0.03","0.03","0","o"
"YP_003969283.1","129","1.46","1.45","0","o"
"YP_003969284.1","159","0.00","0.00","0","o"
"YP_003969285.1","83","0.49","0.49","0","o"
"YP_003969286.1","71","0.00","0.00","0","o"
"YP_003969287.1","105","0.49","0.00","0","o"
"YP_003969288.1","74","0.00","0.00","0","i"
"YP_003969289.1","53","0.00","0.00","0","o"
"YP_003969290.1","923","0.00","0.00","0","o"
"YP_003969291.1","534","0.03","0.03","0","o"
"YP_003969292.1","201","0.02","0.00","0","o"
"YP_003969293.1","49","0.00","0.00","0","i"
"YP_003969294.1","65","0.00","0.00","0","o"
"YP_003969295.1","306","22.86","0.00","0","o"
"YP_003969296.1","265","0.00","0.00","0","o"
"YP_003969297.1","231","0.07","0.07","0","o"
"YP_003969298.1","273","0.05","0.05","0","o"
"YP_003969299.1","173","0.00","0.00","0","o"
"YP_003969300.1","633","0.01","0.00","0","o"
"YP_003969301.1","679","0.26","0.00","0","o"
"YP_003969302.1","162","0.02","0.00","0","o"
"YP_003969303.1","521","0.00","0.00","0","o"
"YP_003969304.1","54","0.01","0.01","0","o"
"YP_003969305.1","158","0.00","0.00","0","o"
"YP_003969306.1","206","0.00","0.00","0","o"
"YP_003969307.1","263","0.00","0.00","0","o"
"YP_003969308.1","534","0.02","0.00","0","o"
"YP_003969309.1","392","0.08","0.00","0","o"
"YP_003969310.1","112","0.00","0.00","0","i"
"YP_003969311.1","145","0.00","0.00","0","o"
"YP_003969312.1","60","0.00","0.00","0","o"
"YP_003969313.1","376","0.26","0.00","0","o"
"YP_003969314.1","61","0.00","0.00","0","i"
"YP_003969315.1","132","0.05","0.00","0","i"
"YP_003969316.1","75","0.00","0.00","0","o"
"YP_003969317.1","187","0.00","0.00","0","o"
"YP_003969318.1","234","0.00","0.00","0","o"
"YP_003969319.1","142","0.00","0.00","0","i"
"YP_003969320.1","62","41.98","41.98","2","i5-27o31-50i"
"YP_003969321.1","85","0.00","0.00","0","o"
"YP_003969322.1","108","0.00","0.00","0","o"
"YP_003969323.1","341","0.01","0.00","0","o"
"YP_003969324.1","99","19.72","19.72","1","o4-26i"
"YP_003969325.1","129","21.29","21.29","1","i7-29o"
"YP_003969326.1","503","0.42","0.00","0","o"
"YP_003969327.1","85","0.00","0.00","0","o"
"YP_003969328.1","104","0.00","0.00","0","i"
"YP_003969329.1","136","0.00","0.00","0","o"
"YP_003969330.1","55","0.00","0.00","0","i"
